Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,GOOG,META,MSFT,GOOG,META,MSFT,GOOG,META,MSFT,GOOG,META,MSFT,GOOG,META,MSFT
Date,,,,,,,,,,,,,,,
2024-07-17,181.9659423828125,460.7677307128906,440.1454162597656,184.5665952870992,477.9023017376505,441.46531376189114,180.96952387855154,457.905328571596,435.8384412822571,184.0185620689277,477.9023017376505,439.22249954002416,17376600,28076600,21778000
2024-07-18,178.578125,474.5910949707031,437.0193786621094,183.39082818525517,477.97211054275687,441.2668124744543,177.57174778728617,463.31101919766354,431.0948010273652,182.88264501899772,473.74333764754465,440.95917357547034,17877200,19267200,20794800
2024-07-19,178.74749755859375,475.52862548828125,433.7841796875,181.31825887509234,485.4223643535943,437.7835460054657,178.21939701881587,474.4514656631318,428.7130742947466,179.7239833410327,474.8005457997421,429.80471086507333,14485900,15149400,20940400
2024-07-22,182.69332885742188,486.11053466796875,439.5698547363281,183.63992334392967,490.7582098836229,441.2172281155517,181.2485099418617,482.61979422348026,435.5705185548157,181.69691040759497,485.29269674470385,438.4286106688719,16303900,12023100,15808800
2024-07-23,182.9424285888672,487.3971252441406,441.4653015136719,184.55662156919473,493.9098482730073,444.9783753997072,182.6733913574331,486.42969025653684,439.7286166377608,183.18155927979657,488.54407671929795,440.5225176097392,23772600,9455500,13107100
2024-07-24,173.7454833984375,460.0496520996094,425.63665771484375,177.31266333834552,475.0398874805375,438.12095826115956,172.94836078735528,459.36147513020455,424.3366274271562,174.7618344929483,471.06045317324583,437.0987963490377,31250700,17649700,26805800
2024-07-25,168.55413818359375,452.21044921875,415.216552734375,174.57249855802573,462.3236067182569,426.52980855641556,168.4445315527349,441.4789064419887,414.3333401430881,173.62590413013808,462.0343958650566,425.5374171635106,28967900,18240500,29943800
2024-07-26,168.07586669921875,464.4679870605469,422.0342712402344,169.23171581795833,468.52719660577463,425.6565240052853,165.27096136954532,458.2046022306019,414.0951402007918,168.1655559201212,462.97195536132267,415.0180872010169,25150100,14222400,23583800
2024-07-29,170.51708984375,464.4779052734375,423.4831848144531,171.54339960461624,472.70607900562055,428.86192913835873,169.1121362162633,463.78972830816224,421.4686315229256,169.8893413710137,468.63688647936897,428.29625878283395,13768900,11339600,15125800
2024-07-30,171.24447631835938,461.964599609375,419.7021789550781,172.33056878553097,471.4793693679955,425.7855127211385,169.51070273282616,455.49177911608064,414.18445497765873,171.2145849810346,465.7645175423859,424.4656455012434,13681400,11390400,32687600
2024-07-31,172.52984619140625,473.57379150390625,415.1669616699219,175.27997080668484,475.2393867973792,418.57085701348217,171.10497512525495,465.515181086415,409.07366373993483,174.29351108109944,469.7738735533383,417.30059719182844,15650200,24285800,42891400
2024-08-01,171.8323516845703,496.4231872558594,413.9363708496094,175.05077889023,525.7753210037396,424.20762810841023,169.89929753739804,490.7981240637391,409.9469682421122,171.36403381575482,519.6216611779906,417.58839429377997,17177800,43083100,30296400
